primaryKey,AB_Updated
94:20140529ProjectCategorizations_ValuesOnly,
967:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, As natural resource management agencies and conservation organizations seek guidance on responding to climate change myriad potential actions and strategies have been proposed for increasing the long term viability of some attributes of natural systems. Managers need practical tools for selecting among these actions and strategies to develop a tailored management approach for specific targets at a given location. We developed and present one such tool the participatory Adaptation for Conservation Targets (ACT) framework which considers the effects of climate change in the development of management actions for particular species ecosystems and ecological functions. Our framework is based on the premise that effective adaptation of management to climate change can rely on local knowledge of an ecosystem and does not necessarily require detailed projections of climate change or its effects. We illustrate the ACT framework by applying it to an ecological function in the Greater Yellowstone Ecosystem (Montana Wyoming and Idaho USA) water flows in the upper Yellowstone River. We suggest that the ACT framework is a practical tool for initiating adaptation planning and for generating and communicating specific management interventions given an increasingly altered yet uncertain climate. 
975:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The U.S. Environmental Protection Agency (U.S. EPA) is sponsoring development of ecological soil screening levels (Eco SSLs) for terrestrial wildlife. These are intended to be used to identify chemicals of potential ecological concern at Superfund sites. Ecological soil screening levels represent concentrations of contaminants in soils that are believed to be protective of ecological receptors. An exposure model based on soil and food ingestion rates and the relationship between the concentrations of contaminants in soil and food has been developed for estimation of wildlife Eco SSLs. It is important to understand how conservative and protective these values are how parameterization of the model influences the resulting Eco SSL and how the treatment of uncertainty impacts results. The Eco SSLs were calculated for meadow voles (Microtus pennsylvanicus) and northern short tailed shrews (Blarina brevicauda) for lead and DDT using deterministic and probabilistic methods. Conclusions obtained include that use of central tendency point estimates may result in hazard quotients much larger than one; that a Monte Carlo approach also leads to hazard quotients that can be substantially larger than one; that if no hazard quotients larger than one are allowed any probabilistic approach is identical to a worst case approach; and that an improvement in the quality and amount of data is necessary to increase confidence that Eco SSLs are protective at their intended levels of conservatism. 
98:20140529ProjectCategorizations_ValuesOnly,
9:20140529ProjectCategorizations_ValuesOnly,
9:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We study the problem of answering queries over sources with limited access patterns. The problem is to decide whether a given query Q is feasible equivalent to an executable query Q that observes the limited access patterns given by the sources. We characterize the complexity of deciding feasibility for the classes CQ( ) (conjunctive queries with negation) and UCQ( ) (unions of CQ( ) queries): Testing feasibility is just as hard as testing containment and therefore Pi(2)(P) complete. We also provide a uniform treatment for CQ UCQ CQ( ) and UCQ( ) by devising a single algorithm which is optimal for each of these classes. In addition we show how one can often avoid the worst case complexity by certain approximations: At compile time even if a query Q is not feasible we can find efficiently the minimal executable query containing Q. For query answering at runtime we devise an algorithm which may report complete answers even in the case of infeasible plans and which can indicate to the user the degree of completeness for certain incomplete answers. 
1025:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, evaluating the ecological effectiveness of the hundreds of millions of dollars invested to recover Pacific Northwest salmon has a number of prerequisites principally detailed knowledge of management actions. In the absence of coordinated ecological monitoring basic restoration project metadata (type location timing etc.) is the primary source of information guiding restoration planning and management decisions. There are surprisingly few sources of habitat restoration information at scales appropriate to salmon recovery ranging from small sub watersheds to multistate evolutionarily significant units. We evaluate the consistency of two Columbia River basin restoration inventories developed in different ways but similar in goal: to inform future project placement. We compared the Pacific Northwest Habitat Project Database compiled by researchers at NOAA Fisheries Service and the Subbasin Inventories compiled by local entities within each of 62 subbasins. Confederating these two data holdings we found 11 805 projects in the Columbia River Basin with only 13 PeRcEnT (1 549 11 805) in common. Subbasin scale inventories capture more locally sponsored projects than do large scale data compilations. Attributes (date cost) of projects in common to both datasets matched less than half the time suggesting organizations working on the same project are reporting independently and differently to either the database or inventories. We found that the lack of common data standards and lack of knowledge about accessible data sources are major hurdles to making data available for decision making. 
1043:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Advertisements for faculty positions increasingly require or imply a strong preference for candidates who have held one or more postdoctoral positions. Unfortunately the number of available postdoctoral fellowships is not keeping up with the yearly increase in the number of graduating PhD students. As a result more and more postdoc positions in ecology are creatively defined softmoney positions often requiring some level of self funding. The lack of standard application methods guidelines or support can be worrying for students trying to squeeze a job search in between writing dissertation chapters. Here we describe the experiences of three recent PhD graduates in preparing for applying to and obtaining postdoctoral positions. We emphasize the preparation and persistence needed to reach this increasingly important rung on the ecological career ladder. When do I begin the search process? Our own experiences and those of our peers suggest that PhD students who began thinking about their future goals well before their final year in graduate school were the most successful in obtaining quality postdocs. They shared their goals with their dissertation committees as a way of crosschecking expectations and developing a realistic timeline for degree completion. Stories of students who graduated with no job waiting for them are all too common. Less common but perhaps equally frightening are the tales of students who started jobs before completing their degrees and ended up with terminal AbDs (All but Dissertation). An early inventory of career and personal goals leads to success in graduate school which provides the foundation for a successful postdoc search. What types of opportunities are out there? Ecological postdoctoral positions can range from teaching at a small liberal arts school to conducting research at a large university to working for a government institution. The process of applying for each of these varies greatly. In general we have found that the complexity of theapplication process is positively correlated with the degree of autonomy a postdoc will experience on the job. With advertised positions principal investigators expect their postdocs to work on the project funding the position whereas fellowship and institutional positions that require a proposal as part of the application process offer the postdoc greater independence. Due to the burgeoning pool of applicants and the dearth of available positions many students find they must create a position for themselves which can offer even greater flexibility but demands considerable forethought and planning. How does one create a postdoc position? One of us (KH) began the process of creating a postdoc position 14 months prior to her expected graduation date. She began by researching the past and current work of potential postdoc mentors with whom she was interested in working including the work of their current students and postdocs. Initially she sent each potential mentor a personalized email with new research ideas and explained how she thought her ideas would fit into their labs research mission. She also inquired about funding opportunities and offered to investigate opportunities to write proposals with them for new funds. She maintained continuous communication with potential mentors throughout the final year of her PhD to nurture these budding relationships and was rewarded for her efforts when one grew into a successful postdoc collaboration. The process itself was also extremely valuable as it allowed KH to meet and discuss her research with several prominent ecologists. How do I make the most of professional relationships? As with any job search it is often not what you know but who you know that really matters. The importance of personal relationships cannot be overemphasized. In this regard the dissertation committee can be a students greatest asset. Two of us found postdoc positions directly through a committee member and all of us relied on committee members for letters of reference. Interacting with committee members outside of official meetings as well as taking a class or seminar with each member are great ways to strengthen these relationships which will in turn improve committee member reference letters. Then when applying for jobs references should be carefully matched to the position announcement. Social branches that extend beyond the committee are another effective means of fostering future postdoc opportunities. Employers frequently interview candidates recommended by someone they trust and are more likely to hire someone they already know and respect. Active participation at professional meetings can lead to greater name recognition. Meeting participation also offers an opportunity to assess the general level of interest in your research while providing exposure to new and exciting lines of inquiry. We have obtained several job leads and two offers through contacts made at annual meetings. What about the CV? The curriculum vitae (CV) is the one element common to all postdoc applications but it should be tailored for each application by highlighting activities that are especially relevant to the position. Publications are critically important; having at least one first authored publication demonstrates the ability to successfully complete the scientific process. While there may be a natural inclination to augment the publication record with a laundry list of works in prep we have learned that this strategy has the potential to backfire. Unfinished manuscripts can work against an applicant because they are not usually counted as publications and represent a detailed account of incomplete work (ie obligations that will interfere with ones postdoctoral research). Numerous resources exist to help craft an effective CV both online and through university career development programs. Finally our search for postdoc positions has taught us the importance of humility persistence and flexibility. Many more doors were shut on us than were opened and we have found the pursuit of the ideal postdoc to be unpredictable with many twists and turns. Through it all we attempted to remain prepared and open to new experiences as one opportunity has led to another. We hope we have provided useful guidance for others embarking on what should be an exciting quest. As highlighted by Hopfensperger . postdoctoral positions are becoming increasingly competitive. In 2004 the National Science Foundation recorded the number of ecology postdoctoral appointees as 170 (0.9 PeRcEnT of all biology postdocs) while the number of graduate students was 2185 (3.3 PeRcEnT of biology students; NSF 2006). Given such competition for few opportunities the benefits of early searching developing a quality CV and increased networking as suggested above will certainly include increased access to opportunities. However the concept of creatively defined soft money positions requiring some level of self funding is worrisome; graduate students ought not to feel compelled to take a less than ideal position. Equally important to recognizing your individual goals and needs as a junior scientist is to understand how these needs might be met by the postdoctoral opportunities you are evaluating. Selecting a research program that excites you a lab in which you are comfortable and one that increases your skill set are certainly valuable and are probably the most important factors to consider when choosing your host institution. However there are many different types of postdoctoral positions available and thus a clear understanding of the differences between positions and institutions will foster a more positive postdoctoral experience. A recent survey of postdoctoral scholars found that the degree of similarity between an individuals expectations and outcomes contributes to the overall level of satisfaction. Structural oversight and availability of formal training opportunities (such as seminars on proposal writing project management and teaching) accounted for much of the reported variation in satisfaction. Contented postdocs were also those who published more highlighting the potential impact of the greater institutional environment on ones research career. Yet determining what type of oversight and training is available at a host institution can be more difficult. An increasing number of US institutions serious about their research enterprises maintain either an office dedicated to postdoctoral affairs (Postdoctoral Office PDO) or a postdoctoral scholars association (PDA). These agencies provide specific information on practices within their host institution. A comprehensive database of institutional policies is also provided by the National Postdoctoral Association (NPA; www.nationalpostdoc. org). NPA graduate materials such as Finding the perfect postdoc for you Going in with your eyes open and Considerations for selecting a postdoc are valuable resources for prospective postdocs. While this additional research may seem a burden it has been suggested that the best postdoctoral experience is one in which the rules of the game are well defined and spelled out in advance. By determining up front the degree or nature of oversight at an institution the magnitude of differences between expectations and outcomes can be minimized promoting a positive and productive postdoctoral experience.  
1052:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Brazilian free tailed bats (Tadarida brasiliensis) form enormous summer breeding colonies mostly in caves and under bridges in south central Texas and northern Mexico. Their prey includes several species of adult insects whose larvae are known to be important agricultural pests including the corn earworm or cotton bollworm (Helicoverpa zea). We estimate the bats value as pest control for cotton production in an eightcounty region in south central Texas. Our calculations show an annual value of  DoLlQuAnT 741000 per year with a range of  DoLlQuAnT 121000  DoLlQuAnT 1725000 compared to a  DoLlQuAnT 4.6  DoLlQuAnT 6.4 million per year annual cotton harvest. 
105:20140529ProjectCategorizations_ValuesOnly,
1061:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Managing a complex ecosystem to balance delivery of all of its services is at the heart of ecosystem based management. But how can this balance be accomplished amidst the conflicting demands of stakeholders managers and policy makers? In marine ecosystems several common ecological mechanisms link biodiversity to ecosystem functioning and to a complex of essential services. As a result the effects of preserving diversity can be broadly beneficial to a wide spectrum of important ecosystem processes and services including fisheries water quality recreation and shoreline protection. A management system that conserves diversity will help to accrue more   ecoservice capital   for human use and will maintain a hedge against unanticipated ecosystem changes from natural or anthropogenic causes. Although maintenance of biodiversity cannot be the only goal for ecosystem based management it could provide a common currency for evaluating the impacts of different human activities on ecosystem functioning and can act as a critical indicator of ecosystem status. 
1062:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Many ecologists are interested in communicating science to the public and addressing societal concerns about environmental issues. Individual ecologists need to consider whether when and how this should be done. We propose that public outreach activities can be beneficial for ecologists at all stages of their career. There are diverse opportunities for such involvement and these can vary enormously in terms of time and expertise required. Trends within the science of ecology especially research focused on social ecological systems are likely to promote increased interactions with stakeholders and policy makers. To be effective in these interactions ecologists should consider new approaches to communication and be aware of the potential roles scientists can play in public policy debates. Professional ecologists need to engage with non scientific audiences; a review of such activities should be included in considerations for promotion recognition and awards while also acknowledging variations in the inclinations and abilities of individual scientists. There are however few current standards for how much time ecologists should commit to public outreach how time allocation might change over a career or how to evaluate the quality of such activities. We ask ecologists to consider ways to evaluate the quality of interactions with the public and how to reward these efforts appropriately. 
1064:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Natural processes tend to vary over time and space as well as between species. The ecosystem services these natural processes provide are therefore also highly variable. It is often assumed that ecosystem services are provided linearly (unvaryingly at a steady rate) but natural processes are characterized by thresholds and limiting functions. In this paper we describe the variability observed in wave attenuation provided by marshes mangroves seagrasses and coral reefs and therefore also in coastal protection. We calculate the economic consequences of assuming coastal protection to be linear. We suggest that in order to refine ecosystem based management practices it is essential that natural variability and cumulative effects be considered in the valuation of ecosystem services. 
1065:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Nature provides a wide range of benefits to people. There is increasing consensus about the importance of incorporating these   ecosystem services   into resource management decisions but quantifying the levels and values of these services has proven difficult. We use a spatially explicit modeling tool Integrated Valuation of Ecosystem Services and Tradeoffs (InVEST) to predict changes in ecosystem services biodiversity conservation and commodity production levels. We apply InVEST to stakeholder defined scenarios of land use land cover change in the Willamette Basin Oregon. We found that scenarios that received high scores for a variety of ecosystem services also had high scores for biodiversity suggesting there is little tradeoff between biodiversity conservation and ecosystem services. Scenarios involving more development had higher commodity production values but lower levels of biodiversity conservation and ecosystem services. However including payments for carbon sequestration alleviates this tradeoff. Quantifying ecosystem services in a spatially explicit manner and analyzing tradeoffs between them can help to make natural resource decisions more effective efficient and defensible. 
1068:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Restoration of aquatic ecosystems is a high priority regionally and globally yet only recently have such efforts adopted holistic approaches that include the restoration of streams and rivers flowing to coastal areas. As the largest estuary in the US the Chesapeake Bay has been the focus of one of the most high profile restoration programs ever undertaken in North America. While the primary emphasis has been on tidal waters freshwater tributary clean up strategies have recently been developed. We have compiled the first comprehensive database of over 4700 existing river and stream restoration projects in the Chesapeake Bay Watershed (CBW) to examine where dollars are being spent what issues motivate restoration and what approaches are used. By conservative estimates in excess of  DoLlQuAnT 400 million has been invested in restoration projects since 1990. The majority of projects were implemented to restore forest vegetation in riparian areas and improve water quality. Although the CBW has an extremely high density of restoration activities relative to other regions of the US only 5.4 PeRcEnT of the project records indicated that related monitoring of project performance has occurred. To provide cost effective management solutions we recommend that a centralized tracking system be developed that includes restoration projects associated with both tidal and non tidal waterways along with a substantial increase in investment in the comprehensive monitoring of individual projects following implementation. 
1071:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The role of positive interactions in structuring biological communities is recognized throughout the field of ecology but has yet to be well integrated into the restoration and conservation of aquatic systems. Here we use examples of success in terrestrial restoration to (1) describe how a broader perspective on the scale and nature of positive interactions is necessary if we are to take full advantage of their conservation potential and (2) explain why and when positive interactions should be considered in restoration and conservation of marine estuarine and freshwater habitats. Such goals can be accomplished without considering positive interactions and situations certainly exist in which positive interactions should play a minor role in restoration plans. However a more explicit recognition of these interactions will make restoration and conservation more successful. In some cases restoration activities may fail if these interactions are not included. 
1075:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Two major shortcomings of the US Endangered Species Act have led to inefficient use of conservation dollars: (1) it only provides conservation protection to distressed or rapidly declining species and (2) it does not take full advantage of the market to reduce costs in conservation. New derivative based insurance products (financial instruments designed to allow the commoditization and sale of risk) have been developed that allow investors to insure risk in exchange for fixed payments. Modifications to these financial derivatives which are used to distribute risk and stabilize forecasts across many corporate and social scenarios could allow purchasers to take preventative action to simultaneously protect their investment and decrease the likelihood of the insured event. We propose that governments issue modified derivative contracts to sell species extinction risk to market investors and stakeholders. Using the endangered red cockaded woodpecker (Picoides borealis) in the US as an example we show how a biodiversity derivatives program could proactively generate new funding result in more cost effective conservation align stakeholders interests and create incentives for private conservation efforts. 
1136:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Understanding how species and ecosystems respond to climate change requires spatially and temporally rich data for a diverse set of species and habitats combined with models that test and predict responses. Yet current study is hampered by the long known problems of inadequate management of data and insufficient description of analytical procedures especially in the field of ecology. Despite recent institutional incentives to share data and new data archiving infrastructure many ecologists do not archive and publish their data and code. Given current rapid rates of global change the consequences of this are extreme: because an ecological dataset collected at a certain place and time represents an irreproducible set of observations ecologists doing local independent research possess in their file cabinets and spreadsheets a wealth of information about the natural world and how it is changing. Although large scale initiatives will increasingly enable and reward open science we believe that change demands action and personal commitment by individuals from students and PIs. Herein we outline the major benefits of sharing data and analytical procedures in the context of global change ecology and provide guidelines for overcoming common obstacles and concerns. If individual scientists and laboratories can embrace a culture of archiving and sharing we can accelerate the pace of the scientific method and redefine how local science can most robustly scale up to globally relevant questions. 
113:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Ecology is the study of natural systems at the community level. So how do ecologists account for the role of people who follow rules different from most other organisms and communities? Now that human activity has grown into a global ecological force some ecologists are finding that traditional ecological theory does not provide good ways of understanding systems dominated by human activity. The authors examine a case in point the city and ask how ecological theory can modified to include human behavioral strategies. The authors suggest ways of modeling urban ecosystems by adopting tools from both biology and social science. 
1162:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Over the last 50 years the ____great acceleration____ in human development has impacted our social systems ecosystems and climate in unprecedented ways simultaneously escalating and exposing the global interconnectivity of humans and the rest of nature. In academia researchers have observed documented and debated dimensions of these changes__ but largely within their own disciplines. We now face a profound failure of knowledge: most people are unaware of their most basic ecological dependencies. As we look ahead and consider what continuing on this pathway would mean for life as we know it the limitations of our knowledge systems are becoming uncomfortably evident. Yet meeting the challenge of providing a new integrative understanding means we need to do unfamiliar and even uncomfortable things. 
116:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Emotions are essential but little understood components of research; they catalyze and sustain creative scientific work and fuel the scientific and intellectual social movements (SIMs) that propel scientific change. Adopting a micro sociological focus we examine how emotions shape two intellectual processes central to all scientific work: conceiving creative ideas and managing skepticism. We illustrate these processes through a longitudinal study of the Resilience Alliance a tightly networked coherent group collaborating at the center of a burgeoning scientific social movement in the environmental sciences. We show how emotions structured and were structured by the groups growth and development and how socio emotive processes facilitated the rapid production of highly creative science and helped overcome skepticism by outsiders. Hot spots and hot moments that is brief but intense periods of collaboration undertaken in remote and isolated settings fueled the groups scientific performance and drove the SIM. Paradoxically however the same socio emotive processes that ignited and sustained creative scientific research also made skepticism more likely to occur and more difficult to manage. Similarly emotions and social bonding were essential for the groups growth and development but increased size and diversity have the potential to erode the affective culture that generated initial successes. 
1176:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Large floods can have major impacts on riparian forests. Here we examine the variability and spatial distribution of riparian forest responses along eight third to fifth order streams following a large flood ( similar to 100 year recurrence interval) in the Cascade Mountain Range of Oregon We categorized disturbance intensity (physical force) exerted on riparian trees during floods into three classes: (i) purely fluvial (high water flow only); (ii) fluvial supplemented by dispersed pieces of floating wood (uncongested wood transport); (iii) fluvial with movement of batches of wood (congested wood transport). These types of material transport and associated classes of disturbance intensity resulted in a gradient of biotic responses of disturbance severity ranging from standing riparian trees inundated by high water to trees toppled but still partially rooted to complete removal of trees. High within stream and among stream responses were influenced by pre flood stream and riparian conditions as well as flood dynamics especially the availability of individual pieces or congested batches of wood. Fluvial disturbance alone toppled fewer riparian trees than in reaches where floodwaters transported substantial amounts of wood. Debris flows delivered additional wood and sediment to parts of reaches of four of these study streams; riparian trees were removed and toppled for up to 1.5 km downstream of the debris flow tributary channel. Congested wood transport resulted in higher frequency of toppled trees and greater deposition of new wood levees along channel margins. The condition of the landscape at the time of a major flood strongly influenced responses of riparian forests. Recent and historic land use practices as well as the time since the previous large flood influenced not only the structure and age of the riparian forests but also the availability of agents of disturbance such as large pieces of floating wood that contribute to disturbance of riparian forests during floods. 
1207:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Americans have always feared floods and with good reason. Floods are the most common and costly large natural disturbances affecting the United States. Approximately 9 of every 10 presidential disaster declarations are associated with them. Floods took more than 200 lives between 1990 and 1995 and total flood damage costs between 1990 and 1997 reached nearly  DoLlQuAnT 34 billion. We have spent even more than that trying to control floods by building structures such as levees and dams to modify the ways rivers flow. Although we understand all too well the damage floods do we have not until recently understood very well the many beneficial aspects of flooding. Floods are critical for maintaining and restoring many of the important services provided to humans by riparian ecosystems. Among other things flooding provides critical habitat for fish waterfowl and wildlife and helps maintain high levels of plant and animal diversity. Floodwaters also replenish agricultural soils with nutrients and transport sediment that is necessary to maintain downstream delta and coastal areas. Indeed recent attempts in the United States to restore riverine ecosystems have increasingly turned to   managed   floods the manipulation of water flows from dams and other impoundments to achieve the benefits of flooding. As our understanding of floods has deepened it has become apparent that floods present us with a paradox. On the one hand we want to prevent them because they threaten our lives and ways of life. On the other hand we find ourselves searching for ways to allow or even reintroduce flooding because it supports the biological infrastructure that makes valued aspects of our lives possible. Thus flood control per se cannot be effective over the long term. Rather the key is a new more informed kind of flood management one that involves working with the forces of nature instead of simply trying to eliminate them. 
1208:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, For too long humanitys effects on the oceans have been out of sight and out of mind. Looking at the vast ocean from the shore or a jets window it is hard to imagine that this seemingly limitless area could be vulnerable to human activities. But during the past decade reports have highlighted the consequences of human activity on our coasts and oceans including collapsing fisheries invasive species unnatural warming and acidification and ubiquitous dead zones induced by nutrient runoff. These changes have been linked not to a single threat but to the combined effects of the many past and present human activities that affect marine ecosystems directly and indirectly. The declining state of the oceans is not solely a conservation concern. Healthy oceans are vital to everyone even those who live far from the coast. More than 1 billion people worldwide depend on fish as their primary protein source. The ocean is a key component of the climate system absorbing solar radiation and exchanging absorbing and emitting oxygen and carbon dioxide. Ocean and coastal ecosystems provide water purification and waste treatment land protection nutrient cycling and pharmaceutical energy and mineral resources. Further more than 89 million Americans and millions more around the world participate in marine recreation each year. As coastal populations and demand for ocean resources have grown more and more human activities now overlap and interact in the marine environment. Integrated management of these activities and their effects is necessary but is just beginning to emerge. In Boston Harbor for example a complicated mesh of navigation channels offshore dumping sites outflow pipes and recreational and commercial vessels crisscrosses the bay. Massachusetts like other states and regions has realized the potential for conflict in this situation and is adopting a more integrated framework for managing these and future uses in the harbor and beyond. In 2007 California Oregon and Washington also agreed to pursue a new integrated style of ocean management that accounts for ecosystem interactions and multiple human uses. This shift in thinking is embodied in the principles of ecosystem based management an integrated approach to management that considers the entire ecosystem including humans. The goal of ecosystem based management is to maintain an ecosystem in a healthy productive and resilient condition so that it can provide the services humans want and need taking into account the cumulative effects and needs of different sectors. New York State has passed legislation aimed at achieving a sustainable balance among multiple uses of coastal ecosystems and the maintenance of ecological health and integrity. Washington State has created a regional public private partnership to restore Puget Sound with significant authority for coordinated ecosystem based management. These examples reflect a promising and growing movement toward comprehensive ecosystem based management in the United States and internationally. However efforts to date remain isolated and relatively small in scale and U.S. ocean management has largely failed to address the cumulative effects of multiple human stressors. 
1226:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Increasingly river managers are turning from hard engineering solutions to ecologically based restoration activities in order to improve degraded waterways. River restoration projects aim to maintain or increase ecosystem goods and services while protecting downstream and coastal ecosystems. There is growing interest in applying river restoration techniques to solve environmental problems yet little agreement exists on what constitutes a successful river restoration effort. We propose five criteria for measuring success with emphasis on an ecological perspective. First the design of an ecological river restoration project should be based on a specified guiding image of a more dynamic healthy river that could exist at the site. Secondly the rivers ecological condition must be measurably improved. Thirdly the river system must be more self sustaining and resilient to external perturbations so that only minimal follow up maintenance is needed. Fourthly during the construction phase no lasting harm should be inflicted on the ecosystem. Fifthly both pre and post assessment must be completed and data made publicly available. Determining if these five criteria have been met for a particular project requires development of an assessment protocol. We suggest standards of evaluation for each of the five criteria and provide examples of suitable indicators. Billions of dollars are currently spent restoring streams and rivers yet to date there are no agreed upon standards for what constitutes ecologically beneficial stream and river restoration. We propose five criteria that must be met for a river restoration project to be considered ecologically successful. It is critical that the broad restoration community including funding agencies practitioners and citizen restoration groups adopt criteria for defining and assessing ecological success in restoration. Standards are needed because progress in the science and practice of river restoration has been hampered by the lack of agreed upon criteria for judging ecological success. Without well accepted criteria that are ultimately supported by funding and implementing agencies there is little incentive for practitioners to assess and report restoration outcomes. Improving methods and weighing the ecological benefits of various restoration approaches require organized national level reporting systems. 
1231:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The spatial structure of plant communities can have strong impacts on ecosystem functions and on associated animal communities. None the less spatial structure is rarely used as a measure of restoration success. The restoration of hundreds of wetlands in the prairie pothole region in the mid western USA provided an excellent opportunity to determine whether the re establishment of abiotic conditions is sufficient to restore structure composition and spatial patterning of the vegetation. We mapped the topography and vegetative distributions in 17 restored and nine natural wetlands. We used these data to compare the composition and spatial structure of the vegetation in both wetlands types. The composition of the plant communities differed between restored and natural wetlands; the restored wetlands lacked the well developed sedge meadow community found in most natural wetlands. However the spatial heterogeneity was similar although the zonation patterns were less well developed in the restored wetlands. Although the overall structure was similar species distributions differed among wetland types such that species were found more than 10 cm higher in restored wetlands than in natural wetlands. This study illustrates that restored plant community composition and spatial structure may converge on their targets at different rates. Evaluations of restoration success should consider spatial structure of communities along with compositional and functional metrics. 
1328:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, The potential for understanding and where necessary managing sedimentation in humid mountain drainage basins increases with awareness of the conditions that lead to shallow landsliding debris flows and catastrophic sedimentation in stream channels. Progress in understanding has involved: improved recognition of source areas and the potential for downstream effects of slope failure; improved understanding of hydrological conditions required for failure; and a general theory of slope stability in shallow colluvium including the role of plants fires timber harvest and other disturbances. The theory acknowledges spatial variability in topographic and geotechnical terrain characteristics the stochastic nature of climatic triggering events such as forest fires and rainstorms and the integrating nature of channel networks in modulating the cumulative effects of transient processes within a basin. Anthropogenic fire regimes road effects and timber harvest can readily be included. Continued application and modification of the theory over an expanded geographical range require improvements in field data and their systematic storage in spatial databases. Improvements in digital topographic data for mountain basins systematic network wide surveys of channel conditions and new technology for rapid documentation of soil depths in landslide source areas would enhance the prediction of mass failure its consequences for channel habitat and the basin wide or regional distribution of hillslope and channel conditions. Computations of the probabilities of transient effects throughout basins could then form the basis of ecological risk analyses. Large scale spatial data sets of a few critical variables are required before this next level of understanding can be developed and applied to sedimentation impacts on ecosystems and other resources. 
1357:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, Natural resources and their management have played an important role in shaping Ugandas national identity since 1986. Through Ugandas decentralization agenda the perception of unprotected forests and wetlands have gone from being wasteland and essentially ignored in the political arena to key elements in securing livelihoods and important topics within political platforms. Despite the successes of government decentralization and legislated devolution of rights and responsibilities to the local level mandated regulations instituted by the central government can remain ignored or unheard of locally. What governs local resource use is a combination of prescriptive national legislation and regulations local by laws and perceived ownership. Usufruct rights of forests and wetlands largely depend on local circumstances which are unique to individual communities or particular forests and wetlands. This paper describes the entwined recent history of decentralization and natural resource management legislation in Uganda. We then present a case study of local perceptions of access and use of unprotected wetlands and forests in western Uganda. We show that there is confusion among local residents and village leaders with regards to access and use of these areas despite prescribed national legislation. We suggest that better operational success of resource management at the local level could be achieved by disseminating information at multiple levels. This need is particularly pressing in the more remote areas of the country where forest and wetlands face enormous pressure from high population growth and heavy human reliance on natural resources. 
1358:NCEASpubsWOSfullRecord_wCitationReportThru20131231_updated20140529, We review claims linking both payments for carbon and poverty to deforestation. We examine these effects empirically for Costa Rica during the late 20th century using an econometric approach that addresses the irreversibilities in deforestation. We find significant effects of the relative returns to forest on deforestation rates. Thus carbon payments would induce conservation and also carbon sequestration and if land users were poor could conserve forest while addressing rural poverty. We note that the poor appear to be marginalized in the sense of living where land profitability is lower. Those areas also have more forest. We find that poorer areas may have a higher supply response to payments but even without this effect poor areas might be included and benefit more due to higher (per capita) forest area. They might be included less due to transactions costs though. Unless the Clean Development Mechanism of the Kyoto Protocol is modified in its implementation to allow credits from avoided deforestation such benefits are likely to be limited. 
